PC1,PC2,Prediction,TruePositive,FalsePositive,TrueNegative,FalseNegative
-1.4076228699492368,0.29136761331916333,0,0,0,0,1
-1.1099886607878253,-0.645066203493522,0,0,0,0,1
-0.6633586659152084,0.3357173247093769,0,0,0,0,1
-1.9118592296713097,1.965046327774867,0,0,0,0,1
-0.7089215599593597,-0.6955431611829425,0,0,0,0,1
-1.2982634077976756,0.49806921815436217,0,0,0,0,1
0.3782667635179496,-0.15649675688226022,0,0,0,0,1
-0.8593942422044764,0.19431659457431705,0,0,0,0,1
-1.5773518565358629,0.6708052636720612,0,0,0,0,1
-1.4825522731322411,-0.15161289584781507,0,0,0,0,1
-0.9893010653396047,0.16437821598892313,0,0,0,0,1
0.23246432967888514,-0.7668385616321576,0,0,0,0,1
-0.8866521953380205,-0.3567396510051632,0,0,0,0,1
-1.3528258221259597,-2.0184855053828605,0,0,0,0,1
-0.48286923445026336,0.5912547167122872,0,0,0,0,1
-1.0223023887619629,-1.095774958976178,0,0,0,0,1
-0.21371386516438198,-0.5174360695558735,0,0,0,0,1
-0.7944594789393571,0.18535451430989316,0,0,0,0,1
-0.5245352550284264,-0.8865701941761427,0,0,0,0,1
-1.5463570487548823,0.2939140387021704,0,0,0,0,1
-0.3776211931898581,0.6810428750037064,0,0,0,0,1
-1.2416444811142224,1.3456593262505303,0,0,0,0,1
-0.5363265248313298,-0.23578970180142908,0,0,0,0,1
0.3255725700430519,-0.24164821213680254,0,0,0,0,1
-1.268903217662506,1.2129512269753115,0,0,0,0,1
-0.16043163840342423,-0.7416185185694029,0,0,0,0,1
-1.0139543251520604,-1.2238395786992367,0,0,0,0,1
-0.8571765034841279,-0.07214920828789213,0,0,0,0,1
-1.346236999123323,0.5606105189797135,0,0,0,0,1
-0.9530319908942397,-0.342149620464134,0,0,0,0,1
-1.016201945400994,-0.960781249491315,0,0,0,0,1
-1.9036012621094869,2.9091861057644652,0,0,0,0,1
-1.0429124121033664,0.9003518353953478,0,0,0,0,1
-1.5408956615337466,0.16802639000157626,0,0,0,0,1
0.3833035184715959,-0.9185198817469279,0,0,0,0,1
-0.20965909113528355,-0.5234910380683877,0,0,0,0,1
-0.1939147111458185,-1.2354809091152488,0,0,0,0,1
-1.0391099083014135,1.1187062748183776,0,0,0,0,1
0.7894108071189531,0.2962732993478476,0,0,0,0,1
-0.4040202960587628,-0.6252732258044089,0,0,0,0,1
-1.4173352037300857,0.4572362536492764,0,0,0,0,1
-1.7253406306444228,1.1760570690264656,0,0,0,0,1
-0.7325568442078658,-0.760101175960975,0,0,0,0,1
0.30782128998211894,-0.6734649289897578,0,0,0,0,1
-0.18450618093297966,-0.508791380442623,0,0,0,0,1
-1.0799758781336144,-1.0834828676758388,0,0,0,0,1
-0.46017019400136416,-2.013912877848972,0,0,0,0,1
-2.216081088935406,2.366240589965955,0,0,0,0,1
0.1804402619394691,0.706534132812909,0,0,0,0,1
-0.4035591014953474,0.480086852617892,0,0,0,0,1
-0.9450014822700226,-0.8989301217384923,0,0,0,0,1
-0.011901321493574608,-1.8543199957847816,0,0,0,0,1
0.12425484640366737,-0.08800809848888153,0,0,0,0,1
0.27998761720110543,-1.2996969298996728,0,0,0,0,1
-0.8018866481940843,-1.9049244164372239,0,0,0,0,1
-0.35363849937379327,-0.9520751378409745,0,0,0,0,1
-0.9428680014019615,-0.7510531716197693,0,0,0,0,1
-1.5395152704186466,0.4754832552787684,0,0,0,0,1
-1.0294543051475085,0.3872493933329265,0,0,0,0,1
-0.050607557290451494,0.0980311122361226,0,0,0,0,1
-1.50369839209861,2.128446134944877,0,0,0,0,1
0.5579414073089334,-0.31105743148578247,0,0,0,0,1
-1.9601422497936132,2.609986549836129,0,0,0,0,1
-1.1598051058910266,1.4893108942855682,0,0,0,0,1
0.49642616861774314,-0.7746038958151181,0,0,0,0,1
-0.052945354417835884,-1.4152003009322516,0,0,0,0,1
-1.4266318302481154,-0.11328341991946542,0,0,0,0,1
-0.12201320675221314,-1.133631505347015,0,0,0,0,1
-1.1399515874264514,-0.1998584349990979,0,0,0,0,1
-0.4748121575563151,-0.10932554332637431,0,0,0,0,1
-0.773299026005004,-1.5191577282087307,0,0,0,0,1
-2.388569211025401,5.177329205242317,0,0,0,0,1
-0.1462803662808323,-1.3369903382386559,0,0,0,0,1
-0.6075382582769591,-2.252106144463581,0,0,0,0,1
-0.2567517194488622,-1.286716509621821,0,0,0,0,1
0.1433868174506207,-1.5179881464875549,0,0,0,0,1
-1.2100865810949128,0.5720365273093537,0,0,0,0,1
-1.0479659487648305,1.0907053019072903,0,0,0,0,1
-0.9170378472517348,-0.11855612959012374,0,0,0,0,1
-0.39461215081046996,-1.336702942409277,0,0,0,0,1
-0.39002157872834947,-1.8703015635749467,0,0,0,0,1
-0.25646854448235284,-0.37957209406274145,0,0,0,0,1
-0.4677539015894552,-0.6901203172327381,0,0,0,0,1
0.24525784677390955,-0.24378499317313554,0,0,0,0,1
-0.2767890557368852,-1.7527985970127955,0,0,0,0,1
-0.21286321138757197,-0.026843123919311703,0,0,0,0,1
-0.6574355472980091,-0.1831631511874513,0,0,0,0,1
1.0035987225159364,0.19790434219568798,0,0,0,0,1
-1.5963156160570766,0.30565387676830275,0,0,0,0,1
-1.1147884789130493,-2.24225742199665,0,0,0,0,1
-1.193668799566229,-0.617050494168131,0,0,0,0,1
-0.221620854543028,0.14924837950043204,0,0,0,0,1
-1.0078611205242072,-0.935929238864798,0,0,0,0,1
-0.34274685658209064,-1.3150869740437388,0,0,0,0,1
-2.1232848873521704,2.630545567416356,0,0,0,0,1
-0.4762931789067609,0.09124553381404993,0,0,0,0,1
-1.3393183331867102,1.8931110521656458,0,0,0,0,1
0.6662025850083019,0.18189634832380672,0,0,0,0,1
0.7301940954972272,-0.15824667546508406,0,0,0,0,1
-0.8026256287985323,0.352056014467894,0,0,0,0,1
-0.472656882953598,-0.6966881853179722,0,0,0,0,1
-0.10554788767436653,0.286675828360842,0,0,0,0,1
-0.504082424424155,-0.1727559793708304,0,0,0,0,1
-0.5699515713327243,-2.558930074922249,0,0,0,0,1
